team,games_played,last_game_date
Skien 1,50,2027-04-18
Jutul 1,45,2027-04-18
Tønsberg 1,45,2027-04-18
Ringerike 2,42,2027-04-18
Sandefjord 1,42,2027-04-10
Frisk Asker 2,41,2027-04-18
Frisk Asker 1,40,2027-04-10
Frisk Asker 3,39,2027-03-14
Holmen 1,39,2027-03-14
Kongsberg 1,39,2027-04-10
Ringerike 1,36,2027-02-14
Jar 5,34,2027-04-18
Jar 6,31,2027-04-18
Jar 2,29,2027-04-18
Jar 1,28,2027-03-14
Jar 3,28,2027-04-18
Jar 7,28,2027-03-14
Jar 4,26,2027-03-14
