date,arena,age_group,home,away,parallel_slot
2026-09-06,Jarhallen,U10,Jar 1,Sandefjord 1,0
2026-09-06,Jarhallen,U10,Jar 2,Frisk Asker 2,1
2026-09-06,Jarhallen,U10,Jar 3,Frisk Asker 1,2
2026-09-06,Jarhallen,U10,Frisk Asker 2,Jar 1,0
2026-09-06,Jarhallen,U10,Frisk Asker 1,Sandefjord 1,1
2026-09-06,Jarhallen,U10,Jar 3,Jar 2,2
2026-09-06,Jarhallen,U10,Jar 1,Frisk Asker 1,0
2026-09-06,Jarhallen,U10,Frisk Asker 2,Jar 3,1
2026-09-06,Jarhallen,U10,Sandefjord 1,Jar 2,2
2026-09-06,Jarhallen,U10,Jar 3,Jar 1,0
2026-09-06,Jarhallen,U10,Jar 2,Frisk Asker 1,1
2026-09-06,Jarhallen,U10,Sandefjord 1,Frisk Asker 2,2
2026-09-06,Jarhallen,U10,Jar 1,Jar 2,0
2026-09-06,Jarhallen,U10,Jar 3,Sandefjord 1,1
2026-09-06,Jarhallen,U10,Frisk Asker 1,Frisk Asker 2,2
2026-09-26,Varner Arena,U11,Jar 5,Holmen 1,0
2026-09-26,Varner Arena,U11,Frisk Asker 3,Jutul 1,1
2026-09-26,Varner Arena,U11,Holmen 1,Jar 4,0
2026-09-26,Varner Arena,U11,Frisk Asker 3,Jar 5,1
2026-09-26,Varner Arena,U11,Jar 4,Jutul 1,0
2026-09-26,Varner Arena,U11,Holmen 1,Frisk Asker 3,1
2026-09-26,Varner Arena,U11,Frisk Asker 3,Jar 4,0
2026-09-26,Varner Arena,U11,Jar 5,Jutul 1,1
2026-09-26,Varner Arena,U11,Jar 4,Jar 5,0
2026-09-26,Varner Arena,U11,Jutul 1,Holmen 1,1
2026-09-26,Varner Arena,U11,(Pause),Jar 4,
2026-09-26,Varner Arena,U11,(Pause),Jutul 1,
2026-09-26,Varner Arena,U11,(Pause),Jar 5,
2026-09-26,Varner Arena,U11,(Pause),Holmen 1,
2026-09-26,Varner Arena,U11,(Pause),Frisk Asker 3,
2026-10-11,Ringerikshallen,U10,Jar 6,Tønsberg 1,0
2026-10-11,Ringerikshallen,U10,Jar 7,Kongsberg 1,1
2026-10-11,Ringerikshallen,U10,Skien 1,Ringerike 1,2
2026-10-11,Ringerikshallen,U10,Kongsberg 1,Jar 6,0
2026-10-11,Ringerikshallen,U10,Ringerike 1,Tønsberg 1,1
2026-10-11,Ringerikshallen,U10,Skien 1,Jar 7,2
2026-10-11,Ringerikshallen,U10,Jar 6,Ringerike 1,0
2026-10-11,Ringerikshallen,U10,Kongsberg 1,Skien 1,1
2026-10-11,Ringerikshallen,U10,Tønsberg 1,Jar 7,2
2026-10-11,Ringerikshallen,U10,Skien 1,Jar 6,0
2026-10-11,Ringerikshallen,U10,Jar 7,Ringerike 1,1
2026-10-11,Ringerikshallen,U10,Tønsberg 1,Kongsberg 1,2
2026-10-11,Ringerikshallen,U10,Jar 6,Jar 7,0
2026-10-11,Ringerikshallen,U10,Skien 1,Tønsberg 1,1
2026-10-11,Ringerikshallen,U10,Ringerike 1,Kongsberg 1,2
2026-10-25,Sandefjord ishall,U11,Sandefjord 1,Holmen 1,0
2026-10-25,Sandefjord ishall,U11,Jutul 1,Skien 1,1
2026-10-25,Sandefjord ishall,U11,Holmen 1,Ringerike 2,0
2026-10-25,Sandefjord ishall,U11,Jutul 1,Sandefjord 1,1
2026-10-25,Sandefjord ishall,U11,Ringerike 2,Skien 1,0
2026-10-25,Sandefjord ishall,U11,Holmen 1,Jutul 1,1
2026-10-25,Sandefjord ishall,U11,Jutul 1,Ringerike 2,0
2026-10-25,Sandefjord ishall,U11,Sandefjord 1,Skien 1,1
2026-10-25,Sandefjord ishall,U11,Ringerike 2,Sandefjord 1,0
2026-10-25,Sandefjord ishall,U11,Skien 1,Holmen 1,1
2026-10-25,Sandefjord ishall,U11,(Pause),Ringerike 2,
2026-10-25,Sandefjord ishall,U11,(Pause),Skien 1,
2026-10-25,Sandefjord ishall,U11,(Pause),Sandefjord 1,
2026-10-25,Sandefjord ishall,U11,(Pause),Holmen 1,
2026-10-25,Sandefjord ishall,U11,(Pause),Jutul 1,
