team,games_played,last_game_date
Jutul 1,27,2027-04-18
Jar 5,24,2027-04-18
Tønsberg 1,24,2027-03-06
Frisk Asker 1,23,2027-04-18
Jar 2,23,2027-04-18
Kongsberg 1,23,2027-04-18
Ringerike 1,22,2027-04-10
Sandefjord 1,22,2027-03-06
Holmen 1,21,2027-04-10
Jar 4,20,2027-04-10
Jar 7,20,2027-04-18
Frisk Asker 2,19,2027-03-14
Frisk Asker 3,19,2027-03-14
Jar 1,19,2027-02-14
Jar 3,19,2027-04-10
Jar 6,19,2027-03-14
Ringerike 2,18,2027-03-06
Skien 1,18,2027-01-31
