team,games_played,last_game_date
Kongsberg 1,24,2027-03-14
Jutul 1,23,2027-04-18
Ringerike 2,23,2027-03-14
Ringerike 1,22,2027-04-10
Skien 1,22,2027-04-10
Frisk Asker 2,21,2027-04-18
Holmen 1,21,2027-03-06
Frisk Asker 1,20,2027-04-18
Tønsberg 1,19,2027-01-31
Sandefjord 1,18,2027-01-16
Jar 6,17,2027-04-18
Frisk Asker 3,16,2027-04-10
Jar 2,16,2027-04-10
Jar 4,15,2027-04-18
Jar 1,14,2027-04-10
Jar 7,14,2027-04-18
Jar 3,13,2027-03-14
Jar 5,12,2027-03-14
