team,games_played,last_game_date
Jutul 1,47,2027-04-18
Sandefjord 1,45,2027-03-14
Skien 1,45,2027-04-18
Tønsberg 1,45,2027-04-18
Ringerike 1,44,2027-04-18
Holmen 1,42,2027-03-14
Frisk Asker 1,41,2027-04-10
Frisk Asker 3,41,2027-04-18
Frisk Asker 2,40,2027-03-14
Kongsberg 1,39,2027-03-14
Ringerike 2,37,2027-04-10
Jar 7,35,2027-04-18
Jar 2,31,2027-04-18
Jar 4,30,2027-04-18
Jar 3,29,2027-04-18
Jar 1,28,2027-03-14
Jar 6,25,2027-04-10
Jar 5,24,2027-03-06
